cluster_name,hub_name,region,dock_number,backlogs,backlogs_ts,active,created_at
"Batangas-Bolbok Hub,Pallocan Hub",Batangas-Bolbok Hub,SOL,Dock 50,,,,
"Batangas-Bolbok Hub,Pallocan Hub",Pallocan Hub,SOL,Dock 50,,,,
Padre Garcia Hub,Padre Garcia Hub,SOL,Dock 51,,,,
Sabang Hub,Sabang Hub,SOL,Dock 52,,,,
"Pagbilao Hub,Pagbilao Hub 2,Atimonan Hub",Pagbilao Hub,SOL,Dock 53,,,,
"Pagbilao Hub,Pagbilao Hub 2,Atimonan Hub",Pagbilao Hub 2,SOL,Dock 53,,,,
"Pagbilao Hub,Pagbilao Hub 2,Atimonan Hub",Atimonan Hub,SOL,Dock 53,,,,
Albay DC,Albay DC,RC,Dock 54-55,,,,
Camarines Sur DC,Camarines Sur DC,RC,Dock 56-58,,,,
SOC 4,SOC 4,InterSOC,Dock 59,,,,
SOC 6,SOC 6,InterSOC,Dock 59,,,,
Lucena Hub,Lucena Hub,SOL,Dock 60,,,,
"Tanauan Hub,Malvar Hub",Tanauan Hub,SOL,Dock 61,,,,
"Tanauan Hub,Malvar Hub",Malvar Hub,SOL,Dock 61,,,,
"Calapan Hub,Puerto Galera Hub",Calapan Hub,SOL IIS,Dock 62,,,,
"Calapan Hub,Puerto Galera Hub",Puerto Galera Hub,SOL IIS,Dock 62,,,,
"Mamburao Hub,Tangkalan Hub,Sablayan Hub,Magsikap Hub",Mamburao Hub,SOL IIS,Dock 63,,,,
"Mamburao Hub,Tangkalan Hub,Sablayan Hub,Magsikap Hub",Tangkalan Hub,SOL IIS,Dock 63,,,,
"Mamburao Hub,Tangkalan Hub,Sablayan Hub,Magsikap Hub",Sablayan Hub,SOL IIS,Dock 63,,,,
"Mamburao Hub,Tangkalan Hub,Sablayan Hub,Magsikap Hub",Magsikap Hub,SOL IIS,Dock 63,,,,
San Roque Hub,San Roque Hub,SOL IIS,Dock 64,,,,
Molino Hub,Molino Hub,GMA SOL,Dock 65,,,,
Imus Hub,Imus Hub,GMA SOL,Dock 66,,,,
"Masbate Hub,Tugbo Hub,Aroroy Hub",Aroroy Hub,SOL IIS,Dock 67,,,,
"Masbate Hub,Tugbo Hub,Aroroy Hub",Tugbo Hub,SOL IIS,Dock 67,,,,
"Masbate Hub,Tugbo Hub,Aroroy Hub",Masbate Hub,SOL IIS,Dock 67,,,,
SOC 11,SOC 11,InterSOC,Dock 67,,,,
Noveleta Hub,Noveleta Hub,GMA SOL,Dock 68,,,,
Cavite Hub,Cavite Hub,GMA SOL,Dock 69,,,,
"Bansud Hub,Bongabong Hub,Oriental Mindoro-Roxas Hub,Bulalacao Hub",Bansud Hub,SOL IIS,Dock 70,,,,
"Bansud Hub,Bongabong Hub,Oriental Mindoro-Roxas Hub,Bulalacao Hub",Bongabong Hub,SOL IIS,Dock 70,,,,
"Bansud Hub,Bongabong Hub,Oriental Mindoro-Roxas Hub,Bulalacao Hub",Oriental Mindoro-Roxas Hub,SOL IIS,Dock 70,,,,
"Bansud Hub,Bongabong Hub,Oriental Mindoro-Roxas Hub,Bulalacao Hub",Bulalacao Hub,SOL IIS,Dock 70,,,,
"Naujan Hub,Victoria Hub,Socorro Hub,Pinamalayan Hub",Socorro Hub,SOL IIS,Dock 71,,,,
"Naujan Hub,Victoria Hub,Socorro Hub,Pinamalayan Hub",Victoria Hub,SOL IIS,Dock 71,,,,
"Naujan Hub,Victoria Hub,Socorro Hub,Pinamalayan Hub",Naujan Hub,SOL IIS,Dock 71,,,,
"Naujan Hub,Victoria Hub,Socorro Hub,Pinamalayan Hub",Pinamalayan Hub,SOL IIS,Dock 71,,,,
"Batangas San Rafael Hub,Santo Tomas Hub",Santo Tomas Hub,SOL,Dock 72,,,,
"Batangas San Rafael Hub,Santo Tomas Hub",Batangas San Rafael Hub,SOL,Dock 72,,,,
"Boac Hub,Marinduque Hub,Boac Hub 2",Marinduque Hub,SOL IIS,Dock 73,,,,
"Boac Hub,Marinduque Hub,Boac Hub 2",Boac Hub,SOL IIS,Dock 73,,,,
"Boac Hub,Marinduque Hub,Boac Hub 2",Boac Hub 2,SOL IIS,Dock 73,,,,
"Lucban Hub,Mauban Hub",Mauban Hub,SOL,Dock 74,,,,
"Lucban Hub,Mauban Hub",Lucban Hub,SOL,Dock 74,,,,
"Gumaca Hub,San Narciso Hub,San Andres Hub",San Narciso Hub,SOL,Dock 75,,,,
"Gumaca Hub,San Narciso Hub,San Andres Hub",Gumaca Hub,SOL,Dock 75,,,,
"Gumaca Hub,San Narciso Hub,San Andres Hub",San Andres Hub,SOL,Dock 75,,,,
"Tagkawayan Hub,Santa Elena Hub",Tagkawayan Hub,SOL,Dock 76,,,,
"Tagkawayan Hub,Santa Elena Hub",Santa Elena Hub,SOL,Dock 76,,,,
Cache Wh1,Cache WH1,InterSOC,DAC 1,,,,
Romblon Hub,Romblon HUb,SOL IIS,DAC 1,,,,
"San Agustin Hub,Odiongan Hub,Alcantara Hub",San Agustin Hub,SOL IIS,DAC 1,,,,
"San Agustin Hub,Odiongan Hub,Alcantara Hub",Odiongan Hub,SOL IIS,DAC 1,,,,
"San Agustin Hub,Odiongan Hub,Alcantara Hub",Alcantara Hub,SOL IIS,DAC 1,,,,
Davao DC,Davao DC,Mindanao,DAC 1-4,,,,
Gensan DC,Gensan DC,Mindanao,DAC 5-7,,,,
